key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:atr_bps_in_range,50,15,35,30.000000,-301.873376,-91.385253,97.097186,113.390937,-6.037468,47.705127,-27.652237,6.160000
passed:confidence_ok,50,15,35,30.000000,-301.873376,-91.385253,97.097186,113.390937,-6.037468,47.705127,-27.652237,6.160000
passed:confirmation_bearish_or_allowed_neutral,11,3,8,27.272727,-64.320807,-23.923738,18.362169,22.034900,-5.847346,53.724193,-29.836379,3.090909
passed:confirmation_bullish_or_allowed_neutral,39,12,27,30.769231,-237.552569,-67.461515,78.735017,91.356037,-6.091092,46.007442,-27.036196,7.025641
passed:direction_enabled,50,15,35,30.000000,-301.873376,-91.385253,97.097186,113.390937,-6.037468,47.705127,-27.652237,6.160000
passed:ema_ribbon_long,39,12,27,30.769231,-237.552569,-67.461515,78.735017,91.356037,-6.091092,46.007442,-27.036196,7.025641
passed:ema_ribbon_short,11,3,8,27.272727,-64.320807,-23.923738,18.362169,22.034900,-5.847346,53.724193,-29.836379,3.090909
passed:expected_net_edge_ok,50,15,35,30.000000,-301.873376,-91.385253,97.097186,113.390937,-6.037468,47.705127,-27.652237,6.160000
passed:expected_reward_ok,50,15,35,30.000000,-301.873376,-91.385253,97.097186,113.390937,-6.037468,47.705127,-27.652237,6.160000
passed:momentum_trigger_ok,50,15,35,30.000000,-301.873376,-91.385253,97.097186,113.390937,-6.037468,47.705127,-27.652237,6.160000
passed:near_vwap_or_ema21,50,15,35,30.000000,-301.873376,-91.385253,97.097186,113.390937,-6.037468,47.705127,-27.652237,6.160000
passed:screening_bearish,11,3,8,27.272727,-64.320807,-23.923738,18.362169,22.034900,-5.847346,53.724193,-29.836379,3.090909
passed:screening_bullish,39,12,27,30.769231,-237.552569,-67.461515,78.735017,91.356037,-6.091092,46.007442,-27.036196,7.025641
passed:trigger_body_atr_ok,50,15,35,30.000000,-301.873376,-91.385253,97.097186,113.390937,-6.037468,47.705127,-27.652237,6.160000
passed:trigger_body_ratio_ok,50,15,35,30.000000,-301.873376,-91.385253,97.097186,113.390937,-6.037468,47.705127,-27.652237,6.160000
passed:trigger_close_location_ok,50,15,35,30.000000,-301.873376,-91.385253,97.097186,113.390937,-6.037468,47.705127,-27.652237,6.160000
passed:volume_ratio_ok,50,15,35,30.000000,-301.873376,-91.385253,97.097186,113.390937,-6.037468,47.705127,-27.652237,6.160000
