month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,3,1,2,33.333333,-2.965987,5.821834,6.595695,12.417529,-15.383516,0.813450,8.976373,-12.179945,-5.127839,2,1.800000,46.519107,-27.575424,-74.094531,17.327184,1,2,0,0
2020-03,1,0,1,0.000000,-7.762185,1.138164,1.562258,2.700422,-10.462606,0.000000,0.000000,-10.462606,-10.462606,1,1.800000,81.856516,-73.741427,-155.597943,19.032823,0,1,0,0
2020-06,1,0,1,0.000000,-8.028496,2.271818,3.126559,5.398376,-13.426872,0.000000,0.000000,-13.426872,-13.426872,1,1.800000,34.226530,-47.214774,-81.441304,18.983060,0,1,0,0
2020-07,1,1,0,100.000000,12.683240,2.837249,2.126669,4.963918,7.719322,inf,7.719322,0.000000,7.719322,0,1.800000,24.833705,21.804641,-3.029064,14.021497,1,0,0,0
2020-10,2,0,2,0.000000,-15.900585,4.069545,5.601189,9.670733,-25.571319,0.000000,0.000000,-12.785659,-12.785659,2,1.800000,41.634654,-51.327106,-92.961759,18.980591,0,2,0,0
2020-11,1,0,1,0.000000,-7.740380,1.307107,1.799981,3.107088,-10.847469,0.000000,0.000000,-10.847469,-10.847469,1,1.800000,68.488192,-66.233804,-134.721996,18.971641,0,1,0,0
2020-12,3,3,0,100.000000,38.444179,6.270608,4.699113,10.969721,27.474458,inf,9.158153,0.000000,9.158153,0,1.800000,45.847942,42.802068,-3.045874,14.034104,3,0,0,0
2021-01,2,0,2,0.000000,-15.887906,4.135026,5.691221,9.826248,-25.714154,0.000000,0.000000,-12.857077,-12.857077,2,1.800000,51.745782,-56.939906,-108.685688,18.977221,0,2,0,0
2021-02,1,0,1,0.000000,-7.553332,0.613499,0.846204,1.459703,-9.013035,0.000000,0.000000,-9.013035,-9.013035,1,1.800000,159.856947,-116.953620,-276.810567,18.941189,0,1,0,0
2021-03,1,1,0,100.000000,12.732754,2.251006,1.686981,3.937987,8.794767,inf,8.794767,0.000000,8.794767,0,1.800000,34.363883,31.327196,-3.036687,14.027215,1,0,0,0
2021-04,1,0,1,0.000000,-7.868198,1.874146,2.579704,4.453850,-12.322047,0.000000,0.000000,-12.322047,-12.322047,1,1.800000,43.765300,-52.509852,-96.275152,18.979881,0,1,0,0
2021-06,2,0,2,0.000000,-15.539609,3.178468,4.375832,7.554300,-23.093909,0.000000,0.000000,-11.546954,-11.546954,2,1.800000,53.678431,-58.012741,-111.691172,18.976577,0,2,0,0
2021-07,1,0,1,0.000000,-7.849595,2.012197,2.769518,4.781716,-12.631311,0.000000,0.000000,-12.631311,-12.631311,1,1.800000,39.497480,-50.140737,-89.638216,18.981303,0,1,0,0
2021-08,2,1,1,50.000000,4.532937,5.272043,5.412232,10.684274,-6.151337,1.572251,7.308029,-13.459366,-3.075669,1,1.800000,27.610767,-13.113011,-40.723778,16.502034,1,1,0,0
2021-09,1,0,1,0.000000,-7.990800,2.689635,3.701044,6.390679,-14.381480,0.000000,0.000000,-14.381480,-14.381480,1,1.800000,26.138887,-42.725233,-68.864119,18.985756,0,1,0,0
2021-10,1,1,0,100.000000,12.618023,2.064335,1.546990,3.611325,9.006697,inf,9.006697,0.000000,9.006697,0,1.800000,38.029176,34.989557,-3.039619,14.029414,1,0,0,0
2021-11,1,1,0,100.000000,12.541724,2.466752,1.848810,4.315562,8.226162,inf,8.226162,0.000000,8.226162,0,1.800000,29.765900,26.732891,-3.033009,14.024456,1,0,0,0
2022-05,1,0,1,0.000000,-7.599788,1.102998,1.513962,2.616959,-10.216747,0.000000,0.000000,-10.216747,-10.216747,1,1.800000,82.872780,-74.306470,-157.179249,19.033162,0,1,0,0
2022-06,2,0,2,0.000000,-15.416670,3.266779,4.486425,7.753205,-23.169875,0.000000,0.000000,-11.584937,-11.584937,2,1.800000,51.473458,-56.848446,-108.321904,19.022694,0,2,0,0
2022-07,1,0,1,0.000000,-7.771604,1.990692,2.734481,4.725173,-12.496777,0.000000,0.000000,-12.496777,-12.496777,1,1.800000,39.694573,-50.299385,-89.993959,19.018767,0,1,0,0
2022-08,1,1,0,100.000000,12.716683,1.371087,1.029587,2.400674,10.316009,inf,10.316009,0.000000,10.316009,0,1.800000,62.909703,59.969237,-2.940466,13.955648,1,0,0,0
2022-09,1,0,1,0.000000,-7.856768,2.344470,3.220896,5.565366,-13.422135,0.000000,0.000000,-13.422135,-13.422135,1,1.800000,31.712990,-45.861625,-77.574615,19.016106,0,1,0,0
2022-11,2,1,1,50.000000,4.892846,3.571323,3.929131,7.500455,-2.607609,1.630015,9.913851,-12.521460,-1.303805,1,1.800000,46.333300,0.169455,-46.163845,16.490005,1,1,0,0
2023-03,6,1,5,16.666667,-23.323312,12.250530,14.486347,26.736877,-50.060188,0.348411,8.666630,-11.745364,-8.343365,4,1.800000,41.046531,-34.621288,-75.667818,17.322474,1,4,1,0
2023-06,1,0,1,0.000000,-7.560898,1.562914,2.151653,3.714567,-11.275465,0.000000,0.000000,-11.275465,-11.275465,1,1.800000,52.941418,-57.603617,-110.545035,18.976823,0,1,0,0
2024-01,1,1,0,100.000000,5.134876,1.368199,1.025636,2.393835,2.741041,inf,2.741041,0.000000,2.741041,0,1.800000,62.406823,16.051244,-46.355579,14.018043,0,0,1,0
2024-03,2,1,1,50.000000,0.770265,2.271125,2.525223,4.796348,-4.026083,1.102767,6.588129,-10.614211,-2.013041,1,1.800000,80.170166,-4.709008,-84.879173,16.507079,0,1,1,0
2024-11,2,0,2,0.000000,-15.461279,4.712583,6.485212,11.197794,-26.659073,0.000000,0.000000,-13.329537,-13.329537,2,1.800000,30.691671,-45.252534,-75.944205,18.984238,0,2,0,0
2025-01,2,0,2,0.000000,-15.619235,5.673611,7.806682,13.480293,-29.099527,0.000000,0.000000,-14.549764,-14.549764,2,1.800000,23.007901,-40.987187,-63.995088,18.986799,0,2,0,0
2025-03,1,1,0,100.000000,12.194819,2.107679,1.579540,3.687219,8.507600,inf,8.507600,0.000000,8.507600,0,1.800000,35.404257,32.366737,-3.037520,14.027839,1,0,0,0
2025-04,1,0,1,0.000000,-7.510404,1.719755,2.367292,4.087047,-11.597451,0.000000,0.000000,-11.597451,-11.597451,1,1.800000,46.188921,-53.855231,-100.044152,18.979073,0,1,0,0
2025-10,1,0,1,0.000000,-7.440568,1.510011,2.078869,3.588879,-11.029447,0.000000,0.000000,-11.029447,-11.029447,1,1.800000,54.229775,-58.318798,-112.548574,18.976393,0,1,0,0
