trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579089900000,1579093800000,3900000,8765.312712,8805.502019,8742.006734,8807.263472,0.321806,12.933154,2.261756,1.695025,3.956781,8.976373,1.800000,14,take_profit,34.859970,31.822885,-3.037084,8.018340,6.009172,14.027512,31.822885,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.56, body_atr=1.10, close_location=0.80, reclaim_distance_atr=0.00, volume_ratio=1.80, atr_bps=26.6"
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579097700000,1579101600000,3900000,8841.357918,8798.836994,8800.597113,8914.727366,0.184331,-7.837908,1.300651,1.791138,3.091790,-10.929698,1.800000,14,stop_loss,69.984366,-67.064348,-137.048714,7.980763,10.990380,18.971142,-67.064348,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.65, body_atr=1.46, close_location=0.93, reclaim_distance_atr=0.00, volume_ratio=2.60, atr_bps=46.1"
TRD-SIG-BT-00000003,SIG-BT-00000003,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579130700000,1579131000000,300000,8847.609168,8822.391790,8824.156621,8889.823752,0.319670,-8.061233,2.259426,3.109532,5.368958,-13.430191,1.800000,2,stop_loss,34.712985,-47.484810,-82.197795,7.988599,10.994299,18.982898,-47.484810,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.91, body_atr=0.98, close_location=0.96, reclaim_distance_atr=0.00, volume_ratio=1.82, atr_bps=26.5"
TRD-SIG-BT-00000004,SIG-BT-00000004,2020-03,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1583756100000,1583756700000,600000,7819.925702,7862.707424,7861.135197,7745.748612,0.181437,-7.762185,1.138164,1.562258,2.700422,-10.462606,1.800000,3,stop_loss,81.856516,-73.741427,-155.597943,8.021883,11.010940,19.032823,-73.741427,screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bearish momentum follow-through, body_ratio=0.75, body_atr=1.74, close_location=0.93, reject_distance_atr=0.00, volume_ratio=1.50, atr_bps=52.7"
TRD-SIG-BT-00000005,SIG-BT-00000005,2020-06,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1591295700000,1591296900000,1200000,9822.694146,9794.962997,9796.922381,9869.083322,0.289512,-8.028496,2.271818,3.126559,5.398376,-13.426872,1.800000,5,stop_loss,34.226530,-47.214774,-81.441304,7.988707,10.994353,18.983060,-47.214774,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.71, body_atr=0.50, close_location=0.82, reclaim_distance_atr=0.00, volume_ratio=1.46, atr_bps=26.2"
TRD-SIG-BT-00000006,SIG-BT-00000006,2020-07,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1596002700000,1596002700000,0,10992.187998,11031.568763,10969.083820,11033.775518,0.322067,12.683240,2.837249,2.126669,4.963918,7.719322,1.800000,1,take_profit,24.833705,21.804641,-3.029064,8.014330,6.007167,14.021497,21.804641,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.65, body_atr=1.04, close_location=1.00, reclaim_distance_atr=0.00, volume_ratio=1.58, atr_bps=21.0"
TRD-SIG-BT-00000007,SIG-BT-00000007,2020-10,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1603829700000,1603831500000,1800000,13659.811416,13623.624725,13626.349995,13720.041974,0.222724,-8.059653,2.430673,3.344996,5.775669,-13.835322,1.800000,7,stop_loss,31.093257,-45.475459,-76.568716,7.989403,10.994701,18.984104,-45.475459,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.60, body_atr=0.73, close_location=0.90, reclaim_distance_atr=0.00, volume_ratio=1.32, atr_bps=24.5"
TRD-SIG-BT-00000008,SIG-BT-00000008,2020-10,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1603997100000,1604001300000,4200000,13554.330324,13502.550512,13505.251562,13642.672095,0.151428,-7.840932,1.638872,2.256193,3.895064,-11.735996,1.800000,15,stop_loss,52.176050,-57.178752,-109.354802,7.984719,10.992358,18.977078,-57.178752,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.71, body_atr=0.99, close_location=0.76, reclaim_distance_atr=0.00, volume_ratio=1.50, atr_bps=36.2"
TRD-SIG-BT-00000009,SIG-BT-00000009,2020-11,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1605700200000,1605703800000,3600000,18176.964666,18091.056399,18094.675334,18325.085464,0.090101,-7.740380,1.307107,1.799981,3.107088,-10.847469,1.800000,13,stop_loss,68.488192,-66.233804,-134.721996,7.981095,10.990546,18.971641,-66.233804,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.67, body_atr=0.86, close_location=0.73, reclaim_distance_atr=0.00, volume_ratio=1.68, atr_bps=45.3"
TRD-SIG-BT-00000010,SIG-BT-00000010,2020-12,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1608042600000,1608044700000,2100000,19333.855998,19411.153714,19288.755596,19415.036721,0.164035,12.679526,2.542214,1.905393,4.447607,8.231918,1.800000,8,take_profit,28.988894,25.956506,-3.032388,8.015992,6.007998,14.023990,25.956506,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.59, body_atr=1.00, close_location=0.87, reclaim_distance_atr=0.00, volume_ratio=1.35, atr_bps=23.3"
TRD-SIG-BT-00000011,SIG-BT-00000011,2020-12,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1608334800000,1608335400000,600000,22989.586998,23080.463368,22936.535117,23085.080385,0.139682,12.693787,2.574061,1.929277,4.503339,8.190448,1.800000,3,take_profit,28.537669,25.505643,-3.032027,8.015812,6.007908,14.023719,25.505643,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.66, body_atr=0.63, close_location=0.79, reclaim_distance_atr=0.00, volume_ratio=1.72, atr_bps=23.1"
TRD-SIG-BT-00000012,SIG-BT-00000012,2020-12,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1608388500000,1608390600000,2100000,23327.384544,23539.660616,23206.837352,23544.369490,0.061575,13.070867,1.154332,0.864443,2.018775,11.052091,1.800000,8,take_profit,80.017263,76.944057,-3.073206,8.036399,6.018204,14.054603,76.944057,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.80, body_atr=0.95, close_location=0.99, reclaim_distance_atr=0.00, volume_ratio=1.63, atr_bps=51.7"
