key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:atr_bps_in_range,888,174,714,19.594595,-4872.342635,-973.901861,1730.212195,2168.228580,-5.486872,32.302185,-22.586522,7.916667
passed:confidence_ok,888,174,714,19.594595,-4872.342635,-973.901861,1730.212195,2168.228580,-5.486872,32.302185,-22.586522,7.916667
passed:confirmation_bullish,888,174,714,19.594595,-4872.342635,-973.901861,1730.212195,2168.228580,-5.486872,32.302185,-22.586522,7.916667
passed:direction_enabled,888,174,714,19.594595,-4872.342635,-973.901861,1730.212195,2168.228580,-5.486872,32.302185,-22.586522,7.916667
passed:ema_ribbon_long,888,174,714,19.594595,-4872.342635,-973.901861,1730.212195,2168.228580,-5.486872,32.302185,-22.586522,7.916667
passed:expected_net_edge_ok,888,174,714,19.594595,-4872.342635,-973.901861,1730.212195,2168.228580,-5.486872,32.302185,-22.586522,7.916667
passed:expected_reward_ok,888,174,714,19.594595,-4872.342635,-973.901861,1730.212195,2168.228580,-5.486872,32.302185,-22.586522,7.916667
passed:near_vwap_or_ema21,888,174,714,19.594595,-4872.342635,-973.901861,1730.212195,2168.228580,-5.486872,32.302185,-22.586522,7.916667
passed:screening_bullish,888,174,714,19.594595,-4872.342635,-973.901861,1730.212195,2168.228580,-5.486872,32.302185,-22.586522,7.916667
passed:volume_ratio_ok,888,174,714,19.594595,-4872.342635,-973.901861,1730.212195,2168.228580,-5.486872,32.302185,-22.586522,7.916667
