month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2024-01,73,14,59,19.178082,-263.763349,457.862208,574.281729,1032.143938,-1295.907287,0.640210,22.429945,-27.286890,-17.752155,12,3.200000,32.810999,-22.727773,-55.538773,18.038282,14,59,0,0
2024-02,103,26,77,25.242718,-73.434618,462.215515,564.838621,1027.054136,-1100.488754,0.892808,15.893091,-19.658560,-10.684357,13,3.200000,33.061699,-18.542358,-51.604058,17.737381,26,77,0,0
2024-03,149,20,129,13.422819,-428.431812,385.870060,500.543611,886.413671,-1314.845483,0.372996,8.510882,-11.512117,-8.824466,28,3.200000,33.848377,-26.870416,-60.718793,18.323731,19,129,1,0
2024-04,54,11,43,20.370370,-44.298590,92.124073,114.872917,206.996990,-251.295580,0.692272,6.047146,-7.391028,-4.653622,6,3.200000,32.071823,-21.881086,-53.952909,17.979140,11,43,0,0
2024-05,65,12,53,18.461538,-57.323651,87.315522,109.724073,197.039595,-254.363246,0.582580,4.246941,-5.760878,-3.913281,20,3.200000,30.654773,-23.652742,-54.307515,18.073576,12,53,0,0
2024-06,13,3,10,23.076923,-4.730952,16.243750,19.872852,36.116603,-40.847554,0.787417,3.538036,-5.146166,-3.142120,6,3.200000,26.812046,-20.840121,-47.652167,17.844356,3,10,0,0
2024-07,66,18,48,27.272727,-3.140279,68.626276,82.861125,151.487401,-154.627680,0.966091,3.178406,-4.413312,-2.342844,6,3.200000,29.021906,-17.747563,-46.769469,17.636297,17,48,1,0
2024-08,51,7,44,13.725490,-40.232107,37.716765,48.950748,86.667513,-126.899620,0.388023,2.472420,-3.277422,-2.488228,15,3.200000,33.965718,-26.352635,-60.318353,18.308899,6,44,1,0
2024-09,70,18,52,25.714286,-7.814312,42.136200,51.219826,93.356026,-101.170338,0.871274,1.891235,-2.600242,-1.445291,12,3.200000,31.114275,-19.165010,-50.279285,17.713415,17,52,1,0
2024-10,53,11,42,20.754717,-12.374035,25.173535,31.539318,56.712853,-69.086888,0.682964,1.638195,-2.073977,-1.303526,9,3.200000,31.642997,-21.097013,-52.740011,17.960382,11,42,0,0
2024-11,140,23,117,16.428571,-33.389627,44.212466,56.213151,100.425616,-133.815243,0.549914,1.213779,-1.382326,-0.955823,21,3.200000,33.477759,-24.405611,-57.883370,18.174833,22,117,1,0
2024-12,51,11,40,21.568627,-4.968530,10.715824,13.310609,24.026432,-28.994962,0.694597,0.663850,-0.907433,-0.568529,15,3.200000,30.935628,-21.616063,-52.551691,17.919351,10,40,1,0
