signal_id,stage,entry_geometry_mode,timestamp,side,regime,reason,equity,peak_equity,drawdown_pct,daily_realized_pnl,expected_reward_bps,expected_cost_bps,expected_net_edge_bps
SIG-BT-00000150,initial_risk,reanchor_to_actual_entry,1709063280000,long,bullish,daily_loss_limit_reached,2767.094959,5073.401128,45.458778,-139.910623,43.156912,19.000000,24.156912
SIG-BT-00000151,initial_risk,reanchor_to_actual_entry,1709063760000,long,bullish,daily_loss_limit_reached,2767.094959,5073.401128,45.458778,-139.910623,53.234469,19.000000,34.234469
SIG-BT-00000202,initial_risk,reanchor_to_actual_entry,1709567580000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,62.989191,19.000000,43.989191
SIG-BT-00000203,initial_risk,reanchor_to_actual_entry,1709568000000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,58.791149,19.000000,39.791149
SIG-BT-00000204,initial_risk,reanchor_to_actual_entry,1709571600000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,48.220709,19.000000,29.220709
SIG-BT-00000205,initial_risk,reanchor_to_actual_entry,1709571660000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,48.777897,19.000000,29.777897
SIG-BT-00000206,initial_risk,reanchor_to_actual_entry,1709572980000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,60.431308,19.000000,41.431308
SIG-BT-00000207,initial_risk,reanchor_to_actual_entry,1709581380000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,43.774209,19.000000,24.774209
SIG-BT-00000208,initial_risk,reanchor_to_actual_entry,1709582040000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,42.696554,19.000000,23.696554
SIG-BT-00000209,initial_risk,reanchor_to_actual_entry,1709582400000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,47.287094,19.000000,28.287094
SIG-BT-00000210,initial_risk,reanchor_to_actual_entry,1709584080000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,41.943539,19.000000,22.943539
SIG-BT-00000211,initial_risk,reanchor_to_actual_entry,1709584140000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,41.173529,19.000000,22.173529
SIG-BT-00000212,initial_risk,reanchor_to_actual_entry,1709584200000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,42.529874,19.000000,23.529874
SIG-BT-00000213,initial_risk,reanchor_to_actual_entry,1709584500000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,44.578923,19.000000,25.578923
SIG-BT-00000214,initial_risk,reanchor_to_actual_entry,1709584800000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,54.208449,19.000000,35.208449
SIG-BT-00000215,initial_risk,reanchor_to_actual_entry,1709584860000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,57.669383,19.000000,38.669383
SIG-BT-00000216,initial_risk,reanchor_to_actual_entry,1709589960000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,42.730604,19.000000,23.730604
SIG-BT-00000217,initial_risk,reanchor_to_actual_entry,1709590320000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,46.436693,19.000000,27.436693
SIG-BT-00000218,initial_risk,reanchor_to_actual_entry,1709590440000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,52.118766,19.000000,33.118766
SIG-BT-00000219,initial_risk,reanchor_to_actual_entry,1709592540000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,50.791552,19.000000,31.791552
SIG-BT-00000220,initial_risk,reanchor_to_actual_entry,1709593200000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,39.869115,19.000000,20.869115
SIG-BT-00000221,initial_risk,reanchor_to_actual_entry,1709594100000,long,bullish,daily_loss_limit_reached,2306.586112,5073.401128,54.535704,-127.881541,59.650990,19.000000,40.650990
SIG-BT-00000236,initial_risk,reanchor_to_actual_entry,1709734500000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,59.720047,19.000000,40.720047
SIG-BT-00000237,initial_risk,reanchor_to_actual_entry,1709734560000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,65.346557,19.000000,46.346557
SIG-BT-00000238,initial_risk,reanchor_to_actual_entry,1709741160000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,66.472410,19.000000,47.472410
SIG-BT-00000239,initial_risk,reanchor_to_actual_entry,1709741220000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,63.681113,19.000000,44.681113
SIG-BT-00000240,initial_risk,reanchor_to_actual_entry,1709741400000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,62.079319,19.000000,43.079319
SIG-BT-00000241,initial_risk,reanchor_to_actual_entry,1709741520000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,63.300174,19.000000,44.300174
SIG-BT-00000242,initial_risk,reanchor_to_actual_entry,1709741580000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,61.624827,19.000000,42.624827
SIG-BT-00000243,initial_risk,reanchor_to_actual_entry,1709741700000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,61.294843,19.000000,42.294843
SIG-BT-00000244,initial_risk,reanchor_to_actual_entry,1709741940000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,63.088029,19.000000,44.088029
SIG-BT-00000245,initial_risk,reanchor_to_actual_entry,1709744040000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,62.222802,19.000000,43.222802
SIG-BT-00000246,initial_risk,reanchor_to_actual_entry,1709744400000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,66.151181,19.000000,47.151181
SIG-BT-00000247,initial_risk,reanchor_to_actual_entry,1709744460000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,65.733717,19.000000,46.733717
SIG-BT-00000248,initial_risk,reanchor_to_actual_entry,1709746560000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,63.058972,19.000000,44.058972
SIG-BT-00000249,initial_risk,reanchor_to_actual_entry,1709747340000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,53.425990,19.000000,34.425990
SIG-BT-00000250,initial_risk,reanchor_to_actual_entry,1709747460000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,56.677948,19.000000,37.677948
SIG-BT-00000251,initial_risk,reanchor_to_actual_entry,1709748360000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,58.952531,19.000000,39.952531
SIG-BT-00000252,initial_risk,reanchor_to_actual_entry,1709749860000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,55.242060,19.000000,36.242060
SIG-BT-00000253,initial_risk,reanchor_to_actual_entry,1709752740000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,51.839386,19.000000,32.839386
SIG-BT-00000254,initial_risk,reanchor_to_actual_entry,1709752800000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,51.986278,19.000000,32.986278
SIG-BT-00000255,initial_risk,reanchor_to_actual_entry,1709753460000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,47.600068,19.000000,28.600068
SIG-BT-00000256,initial_risk,reanchor_to_actual_entry,1709753520000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,47.365037,19.000000,28.365037
SIG-BT-00000257,initial_risk,reanchor_to_actual_entry,1709758620000,long,bullish,daily_loss_limit_reached,2127.612532,5073.401128,58.063388,-112.314472,38.059629,19.000000,19.059629
SIG-BT-00000266,initial_risk,reanchor_to_actual_entry,1709826060000,long,bullish,daily_loss_limit_reached,2015.579734,5073.401128,60.271627,-112.032798,52.158794,19.000000,33.158794
SIG-BT-00000267,initial_risk,reanchor_to_actual_entry,1709827200000,long,bullish,daily_loss_limit_reached,2015.579734,5073.401128,60.271627,-112.032798,49.204637,19.000000,30.204637
SIG-BT-00000268,initial_risk,reanchor_to_actual_entry,1709828640000,long,bullish,daily_loss_limit_reached,2015.579734,5073.401128,60.271627,-112.032798,41.656658,19.000000,22.656658
SIG-BT-00000269,initial_risk,reanchor_to_actual_entry,1709831820000,long,bullish,daily_loss_limit_reached,2015.579734,5073.401128,60.271627,-112.032798,50.220957,19.000000,31.220957
SIG-BT-00000270,initial_risk,reanchor_to_actual_entry,1709831940000,long,bullish,daily_loss_limit_reached,2015.579734,5073.401128,60.271627,-112.032798,51.532205,19.000000,32.532205
SIG-BT-00000271,initial_risk,reanchor_to_actual_entry,1709832360000,long,bullish,daily_loss_limit_reached,2015.579734,5073.401128,60.271627,-112.032798,58.012964,19.000000,39.012964
SIG-BT-00000272,initial_risk,reanchor_to_actual_entry,1709832900000,long,bullish,daily_loss_limit_reached,2015.579734,5073.401128,60.271627,-112.032798,62.192219,19.000000,43.192219
SIG-BT-00000273,initial_risk,reanchor_to_actual_entry,1709837400000,long,bullish,daily_loss_limit_reached,2015.579734,5073.401128,60.271627,-112.032798,36.408005,19.000000,17.408005
SIG-BT-00000274,initial_risk,reanchor_to_actual_entry,1709844240000,long,bullish,daily_loss_limit_reached,2015.579734,5073.401128,60.271627,-112.032798,36.777042,19.000000,17.777042
SIG-BT-00000275,initial_risk,reanchor_to_actual_entry,1709844420000,long,bullish,daily_loss_limit_reached,2015.579734,5073.401128,60.271627,-112.032798,35.014522,19.000000,16.014522
