key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:atr_bps_in_range,209,62,147,29.665072,-2650.980534,-466.378455,996.688943,1187.913136,-12.684117,18.120692,-21.247880,5.803828
passed:confidence_ok,209,62,147,29.665072,-2650.980534,-466.378455,996.688943,1187.913136,-12.684117,18.120692,-21.247880,5.803828
passed:confirmation_bullish,209,62,147,29.665072,-2650.980534,-466.378455,996.688943,1187.913136,-12.684117,18.120692,-21.247880,5.803828
passed:direction_enabled,209,62,147,29.665072,-2650.980534,-466.378455,996.688943,1187.913136,-12.684117,18.120692,-21.247880,5.803828
passed:ema_ribbon_long,209,62,147,29.665072,-2650.980534,-466.378455,996.688943,1187.913136,-12.684117,18.120692,-21.247880,5.803828
passed:expected_net_edge_ok,209,62,147,29.665072,-2650.980534,-466.378455,996.688943,1187.913136,-12.684117,18.120692,-21.247880,5.803828
passed:expected_reward_ok,209,62,147,29.665072,-2650.980534,-466.378455,996.688943,1187.913136,-12.684117,18.120692,-21.247880,5.803828
passed:near_vwap_or_ema21,209,62,147,29.665072,-2650.980534,-466.378455,996.688943,1187.913136,-12.684117,18.120692,-21.247880,5.803828
passed:screening_bullish,209,62,147,29.665072,-2650.980534,-466.378455,996.688943,1187.913136,-12.684117,18.120692,-21.247880,5.803828
passed:volume_ratio_ok,209,62,147,29.665072,-2650.980534,-466.378455,996.688943,1187.913136,-12.684117,18.120692,-21.247880,5.803828
