month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2024-01,19,4,15,21.052632,-115.434700,115.797314,142.772096,258.569410,-374.004110,0.431153,10.317371,-27.684906,-19.684427,7,2.000000,20.596547,-27.626372,-48.222919,17.941557,4,15,0,0
2024-02,21,11,10,52.380952,101.433046,136.714798,144.807545,281.522342,-180.089296,1.777121,10.093326,-29.111589,-8.575681,2,2.000000,16.303488,-9.329341,-25.632829,16.385186,11,10,0,0
2024-03,42,10,32,23.809524,-188.883754,219.405855,270.291386,489.697241,-678.580995,0.489294,9.277456,-24.104861,-16.156690,20,2.000000,19.847340,-24.569095,-44.416435,17.805466,10,32,0,0
2024-04,8,2,6,25.000000,-28.929748,41.762750,51.690413,93.453163,-122.382911,0.547829,9.473565,-23.555007,-15.297864,4,2.000000,16.197675,-21.945422,-38.143097,17.747481,2,6,0,0
2024-05,13,0,13,0.000000,-130.495013,65.655730,90.322298,155.978028,-286.473041,0.000000,0.000000,-22.036388,-22.036388,13,2.000000,15.501098,-35.237950,-50.739048,18.990251,0,13,0,0
2024-06,1,0,1,0.000000,-9.466955,4.286054,5.896637,10.182690,-19.649645,0.000000,0.000000,-19.649645,-19.649645,1,2.000000,18.315568,-36.644059,-54.959627,18.989407,0,1,0,0
2024-07,13,5,8,38.461538,0.669566,62.625955,71.482388,134.108343,-133.438778,1.008862,7.043783,-21.082212,-10.264521,3,2.000000,15.545144,-16.656222,-32.201366,17.077176,5,8,0,0
2024-08,21,8,13,38.095238,3.079485,82.516300,96.066407,178.582707,-175.503222,1.026693,8.709488,-18.859933,-8.357296,3,2.000000,21.334437,-14.685578,-36.020015,17.096685,8,13,0,0
2024-09,19,6,13,31.578947,-28.908417,78.370784,92.341115,170.711898,-199.620315,0.733563,6.057182,-18.151031,-10.506332,7,2.000000,16.471481,-19.935401,-36.406881,17.419543,6,13,0,0
2024-10,13,8,5,61.538462,62.737660,54.231795,53.982525,108.214320,-45.476660,2.552665,5.687794,-18.195802,-3.498205,3,2.000000,14.351492,-6.016212,-20.367704,15.929025,8,5,0,0
2024-11,30,6,24,20.000000,-105.757506,103.884987,129.226201,233.111188,-338.868694,0.405556,5.646936,-15.531263,-11.295623,13,2.000000,19.134734,-26.966537,-46.101271,17.994617,6,24,0,0
2024-12,9,2,7,22.222222,-26.422120,31.436621,39.034126,70.470747,-96.892867,0.452212,5.018841,-15.275793,-10.765874,6,2.000000,16.315311,-25.208822,-41.524133,17.884494,2,7,0,0
