trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704186480000,1704186480000,0,45852.468660,45788.489218,45797.648748,45962.108484,0.228019,-14.588550,8.358364,11.497856,19.856221,-34.444771,2.000000,1,stop_loss,10.911433,-32.944953,-43.856386,7.994419,10.997209,18.991628,-32.944953,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.82, atr_bps=12.0"
TRD-SIG-BT-00000002,SIG-BT-00000002,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704402240000,1704402720000,480000,44331.564540,44203.730473,44212.572987,44569.547645,0.104326,-13.336390,3.694606,5.084750,8.779356,-22.115747,2.000000,9,stop_loss,40.682541,-47.818600,-88.501141,7.988466,10.994232,18.982697,-47.818600,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.79, atr_bps=26.8"
TRD-SIG-BT-00000003,SIG-BT-00000003,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704445800000,1704446580000,780000,44062.310700,43982.726766,43991.525071,44203.881959,0.174592,-13.894712,6.148781,8.459436,14.608217,-28.502929,2.000000,14,stop_loss,19.129785,-37.050842,-56.180628,7.992775,10.996387,18.989162,-37.050842,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.89, atr_bps=16.1"
TRD-SIG-BT-00000004,SIG-BT-00000004,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704457800000,1704458520000,720000,43927.883820,43855.777984,43864.550894,44054.549671,0.194012,-13.989390,6.812430,9.371987,16.184417,-30.173808,2.000000,13,stop_loss,15.834954,-35.404744,-51.239698,7.993434,10.996717,18.990151,-35.404744,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.62, atr_bps=14.4"
TRD-SIG-BT-00000005,SIG-BT-00000005,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704716220000,1704716220000,0,44963.190840,44846.535130,44855.506232,45178.560057,0.113404,-13.229269,4.073927,5.606279,9.680206,-22.909475,2.000000,1,stop_loss,34.899006,-44.929146,-79.828152,7.989622,10.994810,18.984432,-44.929146,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.86, atr_bps=24.0"
TRD-SIG-BT-00000006,SIG-BT-00000006,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704719100000,1704720480000,1380000,44989.096020,45136.236405,44911.011301,45145.265458,0.155660,22.903808,5.611548,4.206372,9.817920,13.085888,2.000000,24,take_profit,21.712731,18.686163,-3.026567,8.013082,6.006543,14.019625,18.686163,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.52, atr_bps=17.4"
TRD-SIG-BT-00000007,SIG-BT-00000007,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704720660000,1704720780000,120000,45070.912380,44998.136697,45007.138125,45198.460891,0.191101,-13.907533,6.884928,9.471643,16.356570,-30.264103,2.000000,3,stop_loss,15.299518,-35.137241,-50.436759,7.993541,10.996770,18.990311,-35.137241,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=2.94, atr_bps=14.2"
TRD-SIG-BT-00000008,SIG-BT-00000008,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704728700000,1704728700000,0,44996.397480,44870.568842,44879.544751,45230.102938,0.103649,-13.042033,3.725854,5.127614,8.853468,-21.895501,2.000000,1,stop_loss,38.938704,-46.947379,-85.886083,7.988814,10.994406,18.983221,-46.947379,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.65, atr_bps=26.0"
TRD-SIG-BT-00000009,SIG-BT-00000009,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704746460000,1704746460000,0,47071.312380,47006.319694,47015.722838,47182.491464,0.216892,-14.096419,8.161889,11.227531,19.389420,-33.485840,2.000000,1,stop_loss,10.619287,-32.798997,-43.418284,7.994477,10.997238,18.991715,-32.798997,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.89, atr_bps=11.8"
TRD-SIG-BT-00000010,SIG-BT-00000010,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704750420000,1704750660000,240000,47141.826480,47068.549471,47077.965064,47269.549312,0.187488,-13.738543,7.065317,9.719619,16.784936,-30.523479,2.000000,5,stop_loss,14.093314,-34.534621,-48.627935,7.993782,10.996891,18.990673,-34.534621,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.97, atr_bps=13.5"
