trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704186480000,1704186480000,45852.468660,45788.489218,45797.648748,45962.108484,0.22801934,-14.588550,8.358364,11.497856,-34.444771,2.000000,1,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.82, atr_bps=12.0",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,10.911433,-32.944953
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704402240000,1704402720000,44331.564540,44203.730473,44212.572987,44569.547645,0.10432579,-13.336390,3.694606,5.084750,-22.115747,2.000000,9,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.79, atr_bps=26.8",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,40.682541,-47.818600
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704445800000,1704446580000,44062.310700,43982.726766,43991.525071,44203.881959,0.17459192,-13.894712,6.148781,8.459436,-28.502929,2.000000,14,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.89, atr_bps=16.1",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,19.129785,-37.050842
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704457800000,1704458520000,43927.883820,43855.777984,43864.550894,44054.549671,0.19401190,-13.989390,6.812430,9.371987,-30.173808,2.000000,13,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.62, atr_bps=14.4",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,15.834954,-35.404744
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704716220000,1704716220000,44963.190840,44846.535130,44855.506232,45178.560057,0.11340439,-13.229269,4.073927,5.606279,-22.909475,2.000000,1,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.86, atr_bps=24.0",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,34.899006,-44.929146
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704719100000,1704720480000,44989.096020,45136.236405,44911.011301,45145.265458,0.15565956,22.903808,5.611548,4.206372,13.085888,2.000000,24,take_profit,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.52, atr_bps=17.4",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,21.712731,18.686163
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704720660000,1704720780000,45070.912380,44998.136697,45007.138125,45198.460891,0.19110138,-13.907533,6.884928,9.471643,-30.264103,2.000000,3,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=2.94, atr_bps=14.2",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,15.299518,-35.137241
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704728700000,1704728700000,44996.397480,44870.568842,44879.544751,45230.102938,0.10364916,-13.042033,3.725854,5.127614,-21.895501,2.000000,1,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.65, atr_bps=26.0",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,38.938704,-46.947379
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704746460000,1704746460000,47071.312380,47006.319694,47015.722838,47182.491464,0.21689240,-14.096419,8.161889,11.227531,-33.485840,2.000000,1,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.89, atr_bps=11.8",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,10.619287,-32.798997
TRD-SIG-BT-00000010,SIG-BT-00000010,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704750420000,1704750660000,47141.826480,47068.549471,47077.965064,47269.549312,0.18748777,-13.738543,7.065317,9.719619,-30.523479,2.000000,5,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.97, atr_bps=13.5",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,14.093314,-34.534621
TRD-SIG-BT-00000011,SIG-BT-00000011,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704804900000,1704804900000,46829.263980,46738.420277,46747.769831,46992.252277,0.14598503,-13.261820,5.463792,7.517356,-26.242969,2.000000,1,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=3.18, atr_bps=17.4",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,21.804796,-38.387278
TRD-SIG-BT-00000012,SIG-BT-00000012,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704809280000,1704809280000,46882.574640,46783.399662,46792.758214,47062.207493,0.13172778,-13.064099,4.935364,6.790698,-24.790161,2.000000,1,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=2.10, atr_bps=19.2",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,25.315484,-40.141217
TRD-SIG-BT-00000013,SIG-BT-00000013,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704934500000,1704935160000,46632.024540,46557.707560,46567.020964,46762.031692,0.18105685,-13.455598,6.749056,9.284661,-29.489315,2.000000,12,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.65, atr_bps=13.9",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,14.879371,-34.927335
TRD-SIG-BT-00000014,SIG-BT-00000014,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704976380000,1704976560000,47122.322580,47234.725567,47061.396669,47244.174402,0.19196462,21.577397,7.245286,5.431808,8.900303,2.000000,4,take_profit,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.97, atr_bps=12.9",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,12.858620,9.839135
