key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:atr_bps_in_range,179,41,138,22.905028,-2442.899038,-314.697714,954.591969,1173.609355,-13.647481,32.476226,-20.844157,8.486034
passed:confidence_ok,179,41,138,22.905028,-2442.899038,-314.697714,954.591969,1173.609355,-13.647481,32.476226,-20.844157,8.486034
passed:confirmation_bullish,179,41,138,22.905028,-2442.899038,-314.697714,954.591969,1173.609355,-13.647481,32.476226,-20.844157,8.486034
passed:direction_enabled,179,41,138,22.905028,-2442.899038,-314.697714,954.591969,1173.609355,-13.647481,32.476226,-20.844157,8.486034
passed:ema_ribbon_long,179,41,138,22.905028,-2442.899038,-314.697714,954.591969,1173.609355,-13.647481,32.476226,-20.844157,8.486034
passed:expected_net_edge_ok,179,41,138,22.905028,-2442.899038,-314.697714,954.591969,1173.609355,-13.647481,32.476226,-20.844157,8.486034
passed:expected_reward_ok,179,41,138,22.905028,-2442.899038,-314.697714,954.591969,1173.609355,-13.647481,32.476226,-20.844157,8.486034
passed:near_vwap_or_ema21,179,41,138,22.905028,-2442.899038,-314.697714,954.591969,1173.609355,-13.647481,32.476226,-20.844157,8.486034
passed:screening_bullish,179,41,138,22.905028,-2442.899038,-314.697714,954.591969,1173.609355,-13.647481,32.476226,-20.844157,8.486034
passed:volume_ratio_ok,179,41,138,22.905028,-2442.899038,-314.697714,954.591969,1173.609355,-13.647481,32.476226,-20.844157,8.486034
