month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2024-01,14,2,12,14.285714,-92.110886,97.264189,123.479527,220.743716,-312.854602,0.445148,22.519961,-29.824544,-22.346757,9,3.200000,32.888377,-27.447712,-60.336089,18.280214,2,12,0,0
2024-02,20,10,10,50.000000,220.803064,136.209079,145.547082,281.756162,-60.953098,2.646775,23.801545,-29.896855,-3.047655,3,3.200000,32.554660,-2.718146,-35.272806,16.508275,10,10,0,0
2024-03,34,5,29,14.705882,-198.277467,205.357712,264.641816,469.999528,-668.276995,0.440053,21.180947,-26.695922,-19.655206,19,3.200000,33.252844,-25.708052,-58.960896,18.260237,5,29,0,0
2024-04,8,1,7,12.500000,-48.059192,43.661397,57.448029,101.109426,-149.168617,0.384460,22.710272,-24.554127,-18.646077,4,3.200000,33.716280,-25.179796,-58.896076,18.370915,1,7,0,0
2024-05,13,0,13,0.000000,-136.359468,68.606303,94.381389,162.987692,-299.347161,0.000000,0.000000,-23.026705,-23.026705,13,3.200000,32.601757,-35.237950,-67.839707,18.990251,0,13,0,0
2024-06,1,0,1,0.000000,-9.892401,4.478669,6.161632,10.640301,-20.532702,0.000000,0.000000,-20.532702,-20.532702,1,3.200000,37.104908,-36.644059,-73.748967,18.989407,0,1,0,0
2024-07,11,5,6,45.454545,59.084752,57.408735,63.459751,120.868486,-61.783734,1.979210,15.214777,-22.976270,-5.616703,3,3.200000,30.878160,-7.299475,-38.177635,16.732933,4,6,1,0
2024-08,14,3,11,21.428571,-28.344536,67.741085,84.502837,152.243923,-180.588459,0.731669,17.673001,-21.237042,-12.899176,7,3.200000,32.808140,-20.788684,-53.596824,17.926854,3,11,0,0
2024-09,17,5,12,29.411765,-2.561852,77.939141,92.017115,169.956256,-172.518108,0.976246,12.560991,-19.610255,-10.148124,7,3.200000,31.808216,-19.037641,-50.845857,17.528506,4,12,1,0
2024-10,13,6,7,46.153846,77.709574,59.293056,64.923265,124.216321,-46.506747,2.258664,15.491441,-19.922199,-3.577442,3,3.200000,30.762387,-4.879745,-35.642132,16.699400,6,7,0,0
2024-11,25,3,22,12.000000,-116.035174,101.514053,130.974234,232.488287,-348.523461,0.351083,12.841931,-17.593148,-13.940938,15,3.200000,32.726082,-28.626913,-61.352996,18.393860,3,22,0,0
2024-12,9,1,8,11.111111,-40.654128,35.118549,46.072678,81.191226,-121.845354,0.326702,13.471878,-16.914654,-13.538373,6,3.200000,31.409194,-27.570936,-58.980130,18.438965,1,8,0,0
