trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704163800000,1704164280000,480000,45253.348860,45403.190963,45203.684936,45412.273418,0.251692,37.714021,9.127001,6.841481,15.968482,21.745539,3.200000,9,take_profit,22.118850,19.091958,-3.026892,8.013245,6.006624,14.019869,19.091958,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.51, atr_bps=11.0"
TRD-SIG-BT-00000002,SIG-BT-00000002,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704186480000,1704186480000,0,45852.468660,45788.489218,45797.648748,46027.892378,0.229011,-14.651997,8.394716,11.547862,19.942577,-34.594575,3.200000,1,stop_loss,25.258293,-32.944953,-58.203246,7.994419,10.997209,18.991628,-32.944953,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.82, atr_bps=12.0"
TRD-SIG-BT-00000003,SIG-BT-00000003,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704445800000,1704446580000,780000,44062.310700,43982.726766,43991.525071,44288.824714,0.176136,-14.017573,6.203150,8.534237,14.737388,-28.754961,3.200000,14,stop_loss,38.407657,-37.050842,-75.458499,7.992775,10.996387,18.989162,-37.050842,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.89, atr_bps=16.1"
TRD-SIG-BT-00000004,SIG-BT-00000004,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704457800000,1704458520000,720000,43927.883820,43855.777984,43864.550894,44130.549182,0.195727,-14.113089,6.872668,9.454857,16.327525,-30.440614,3.200000,13,stop_loss,33.135926,-35.404744,-68.540671,7.993434,10.996717,18.990151,-35.404744,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.62, atr_bps=14.4"
TRD-SIG-BT-00000005,SIG-BT-00000005,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704719100000,1704721560000,2460000,44989.096020,44902.029099,44911.011301,45238.967121,0.157776,-13.737064,5.673062,7.805268,13.478330,-27.215394,3.200000,42,stop_loss,42.540369,-38.341282,-80.881651,7.992259,10.996129,18.988388,-38.341282,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.52, atr_bps=17.4"
TRD-SIG-BT-00000006,SIG-BT-00000006,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704746460000,1704746460000,0,47071.312380,47006.319694,47015.722838,47249.198914,0.220398,-14.324289,8.293826,11.409024,19.702851,-34.027140,3.200000,1,stop_loss,24.790859,-32.798997,-57.589856,7.994477,10.997238,18.991715,-32.798997,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.89, atr_bps=11.8"
TRD-SIG-BT-00000007,SIG-BT-00000007,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704750420000,1704750660000,240000,47141.826480,47068.549471,47077.965064,47346.183011,0.190519,-13.960627,7.179528,9.876737,17.056266,-31.016893,3.200000,5,stop_loss,30.349303,-34.534621,-64.883924,7.993782,10.996891,18.990673,-34.534621,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.97, atr_bps=13.5"
TRD-SIG-BT-00000008,SIG-BT-00000008,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704804900000,1704804900000,0,46829.263980,46738.420277,46747.769831,47090.045256,0.148345,-13.476198,5.552115,7.638874,13.190989,-26.667187,3.200000,1,stop_loss,42.687673,-38.387278,-81.074951,7.992240,10.996120,18.988360,-38.387278,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=3.18, atr_bps=17.4"
TRD-SIG-BT-00000009,SIG-BT-00000009,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704809280000,1704809280000,0,46882.574640,46783.399662,46792.758214,47169.987204,0.133857,-13.275281,5.015145,6.900470,11.915614,-25.190895,3.200000,1,stop_loss,48.304774,-40.141217,-88.445991,7.991538,10.995769,18.987307,-40.141217,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=2.10, atr_bps=19.2"
TRD-SIG-BT-00000010,SIG-BT-00000010,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704934500000,1704935160000,660000,46632.024540,46557.707560,46567.020964,46840.035984,0.183984,-13.673109,6.858155,9.434748,16.292902,-29.966011,3.200000,12,stop_loss,31.606994,-34.927335,-66.534329,7.993625,10.996812,18.990437,-34.927335,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.65, atr_bps=13.9"
