key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:atr_bps_in_range,2337,593,1744,25.374412,-4999.355403,-883.931618,1850.498619,2264.925167,-2.139219,26.084270,-21.347059,6.040650
passed:confidence_ok,2337,593,1744,25.374412,-4999.355403,-883.931618,1850.498619,2264.925167,-2.139219,26.084270,-21.347059,6.040650
passed:confirmation_bearish,1282,345,937,26.911076,-2064.071871,-237.170631,827.581922,999.319318,-1.610040,28.930456,-20.382938,5.570983
passed:confirmation_bullish,1055,248,807,23.507109,-2935.283532,-646.760986,1022.916697,1265.605849,-2.782259,22.625682,-22.518625,6.611374
passed:direction_enabled,2337,593,1744,25.374412,-4999.355403,-883.931618,1850.498619,2264.925167,-2.139219,26.084270,-21.347059,6.040650
passed:ema_ribbon_long,1055,248,807,23.507109,-2935.283532,-646.760986,1022.916697,1265.605849,-2.782259,22.625682,-22.518625,6.611374
passed:ema_ribbon_short,1282,345,937,26.911076,-2064.071871,-237.170631,827.581922,999.319318,-1.610040,28.930456,-20.382938,5.570983
passed:expected_net_edge_ok,2337,593,1744,25.374412,-4999.355403,-883.931618,1850.498619,2264.925167,-2.139219,26.084270,-21.347059,6.040650
passed:expected_reward_ok,2337,593,1744,25.374412,-4999.355403,-883.931618,1850.498619,2264.925167,-2.139219,26.084270,-21.347059,6.040650
passed:near_vwap_or_ema21,2337,593,1744,25.374412,-4999.355403,-883.931618,1850.498619,2264.925167,-2.139219,26.084270,-21.347059,6.040650
passed:screening_bearish,1282,345,937,26.911076,-2064.071871,-237.170631,827.581922,999.319318,-1.610040,28.930456,-20.382938,5.570983
passed:screening_bullish,1055,248,807,23.507109,-2935.283532,-646.760986,1022.916697,1265.605849,-2.782259,22.625682,-22.518625,6.611374
passed:volume_ratio_ok,2337,593,1744,25.374412,-4999.355403,-883.931618,1850.498619,2264.925167,-2.139219,26.084270,-21.347059,6.040650
