key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bullish,6,2,4,33.333333,-45.880603,21.450368,31.124390,36.206581,-7.646767,52.456888,-13.243352,7.500000
passed:1m_ema_alignment_long,6,2,4,33.333333,-45.880603,21.450368,31.124390,36.206581,-7.646767,52.456888,-13.243352,7.500000
passed:5m_confirmation_bullish,6,2,4,33.333333,-45.880603,21.450368,31.124390,36.206581,-7.646767,52.456888,-13.243352,7.500000
passed:atr_bps_in_range,6,2,4,33.333333,-45.880603,21.450368,31.124390,36.206581,-7.646767,52.456888,-13.243352,7.500000
passed:close_reclaim_long,4,1,3,25.000000,-48.885840,-3.068166,20.822918,24.994755,-12.221460,54.039319,-22.938201,6.750000
passed:confidence_ok,6,2,4,33.333333,-45.880603,21.450368,31.124390,36.206581,-7.646767,52.456888,-13.243352,7.500000
passed:direction_enabled,6,2,4,33.333333,-45.880603,21.450368,31.124390,36.206581,-7.646767,52.456888,-13.243352,7.500000
passed:expected_net_edge_ok,6,2,4,33.333333,-45.880603,21.450368,31.124390,36.206581,-7.646767,52.456888,-13.243352,7.500000
passed:expected_reward_ok,6,2,4,33.333333,-45.880603,21.450368,31.124390,36.206581,-7.646767,52.456888,-13.243352,7.500000
passed:pullback_near_vwap,6,2,4,33.333333,-45.880603,21.450368,31.124390,36.206581,-7.646767,52.456888,-13.243352,7.500000
passed:reward_risk_ok,6,2,4,33.333333,-45.880603,21.450368,31.124390,36.206581,-7.646767,52.456888,-13.243352,7.500000
passed:volume_ratio_ok,6,2,4,33.333333,-45.880603,21.450368,31.124390,36.206581,-7.646767,52.456888,-13.243352,7.500000
passed:wick_rejection_long,2,1,1,50.000000,3.005237,24.518534,10.301471,11.211826,1.502619,49.292027,6.146347,9.000000
