key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bearish,13,6,7,46.153846,10.414989,135.765001,62.213413,63.136599,0.801153,65.324972,-7.970357,4.384615
passed:15m_trend_bullish,6,2,4,33.333333,-45.981021,21.574537,31.230465,36.325094,-7.663504,52.456888,-13.243352,7.500000
passed:1m_ema_alignment_long,6,2,4,33.333333,-45.981021,21.574537,31.230465,36.325094,-7.663504,52.456888,-13.243352,7.500000
passed:1m_ema_alignment_short,13,6,7,46.153846,10.414989,135.765001,62.213413,63.136599,0.801153,65.324972,-7.970357,4.384615
passed:5m_confirmation_bearish,13,6,7,46.153846,10.414989,135.765001,62.213413,63.136599,0.801153,65.324972,-7.970357,4.384615
passed:5m_confirmation_bullish,6,2,4,33.333333,-45.981021,21.574537,31.230465,36.325094,-7.663504,52.456888,-13.243352,7.500000
passed:atr_bps_in_range,19,8,11,42.105263,-35.566033,157.339538,93.443878,99.461693,-1.871896,61.261366,-9.635513,5.368421
passed:close_reclaim_long,4,1,3,25.000000,-48.971277,-2.959928,20.914702,25.096646,-12.242819,54.039319,-22.938201,6.750000
passed:close_reclaim_short,9,4,5,44.444444,-2.604391,86.165185,43.888547,44.881030,-0.289377,64.571537,-12.285455,2.888889
passed:confidence_ok,19,8,11,42.105263,-35.566033,157.339538,93.443878,99.461693,-1.871896,61.261366,-9.635513,5.368421
passed:direction_enabled,19,8,11,42.105263,-35.566033,157.339538,93.443878,99.461693,-1.871896,61.261366,-9.635513,5.368421
passed:expected_net_edge_ok,19,8,11,42.105263,-35.566033,157.339538,93.443878,99.461693,-1.871896,61.261366,-9.635513,5.368421
passed:expected_reward_ok,19,8,11,42.105263,-35.566033,157.339538,93.443878,99.461693,-1.871896,61.261366,-9.635513,5.368421
passed:pullback_near_vwap,19,8,11,42.105263,-35.566033,157.339538,93.443878,99.461693,-1.871896,61.261366,-9.635513,5.368421
passed:reward_risk_ok,19,8,11,42.105263,-35.566033,157.339538,93.443878,99.461693,-1.871896,61.261366,-9.635513,5.368421
passed:volume_ratio_ok,19,8,11,42.105263,-35.566033,157.339538,93.443878,99.461693,-1.871896,61.261366,-9.635513,5.368421
passed:wick_rejection_long,2,1,1,50.000000,2.990255,24.534466,10.315763,11.228447,1.495128,49.292027,6.146347,9.000000
passed:wick_rejection_short,4,2,2,50.000000,13.019380,49.599815,18.324866,18.255569,3.254845,67.020200,1.738611,7.750000
