key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bearish,8,6,2,75.000000,110.833013,204.233135,49.377720,44.022402,13.854127,40.691673,17.307189,5.375000
passed:1m_ema_alignment_short,8,6,2,75.000000,110.833013,204.233135,49.377720,44.022402,13.854127,40.691673,17.307189,5.375000
passed:5m_confirmation_bearish,8,6,2,75.000000,110.833013,204.233135,49.377720,44.022402,13.854127,40.691673,17.307189,5.375000
passed:atr_bps_in_range,8,6,2,75.000000,110.833013,204.233135,49.377720,44.022402,13.854127,40.691673,17.307189,5.375000
passed:close_reclaim_short,7,5,2,71.428571,86.343090,165.563272,41.277109,37.943074,12.334727,42.632088,16.331122,5.000000
passed:confidence_ok,8,6,2,75.000000,110.833013,204.233135,49.377720,44.022402,13.854127,40.691673,17.307189,5.375000
passed:direction_enabled,8,6,2,75.000000,110.833013,204.233135,49.377720,44.022402,13.854127,40.691673,17.307189,5.375000
passed:expected_net_edge_ok,8,6,2,75.000000,110.833013,204.233135,49.377720,44.022402,13.854127,40.691673,17.307189,5.375000
passed:expected_reward_ok,8,6,2,75.000000,110.833013,204.233135,49.377720,44.022402,13.854127,40.691673,17.307189,5.375000
passed:pullback_near_vwap,8,6,2,75.000000,110.833013,204.233135,49.377720,44.022402,13.854127,40.691673,17.307189,5.375000
passed:reward_risk_ok,8,6,2,75.000000,110.833013,204.233135,49.377720,44.022402,13.854127,40.691673,17.307189,5.375000
passed:volume_ratio_ok,8,6,2,75.000000,110.833013,204.233135,49.377720,44.022402,13.854127,40.691673,17.307189,5.375000
passed:wick_rejection_short,1,1,0,100.000000,24.489923,38.669863,8.100612,6.079328,24.489923,27.108767,24.139658,8.000000
