key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bearish,7,5,2,71.428571,80.658977,164.852812,44.119236,40.074599,11.522711,39.516461,13.213002,4.142857
passed:1m_ema_alignment_short,7,5,2,71.428571,80.658977,164.852812,44.119236,40.074599,11.522711,39.516461,13.213002,4.142857
passed:5m_confirmation_bearish,7,5,2,71.428571,80.658977,164.852812,44.119236,40.074599,11.522711,39.516461,13.213002,4.142857
passed:atr_bps_in_range,7,5,2,71.428571,80.658977,164.852812,44.119236,40.074599,11.522711,39.516461,13.213002,4.142857
passed:close_reclaim_short,6,4,2,66.666667,56.313640,126.411253,36.066450,34.031163,9.385607,41.584410,11.391893,3.500000
passed:confidence_ok,7,5,2,71.428571,80.658977,164.852812,44.119236,40.074599,11.522711,39.516461,13.213002,4.142857
passed:direction_enabled,7,5,2,71.428571,80.658977,164.852812,44.119236,40.074599,11.522711,39.516461,13.213002,4.142857
passed:expected_net_edge_ok,7,5,2,71.428571,80.658977,164.852812,44.119236,40.074599,11.522711,39.516461,13.213002,4.142857
passed:expected_reward_ok,7,5,2,71.428571,80.658977,164.852812,44.119236,40.074599,11.522711,39.516461,13.213002,4.142857
passed:pullback_near_vwap,7,5,2,71.428571,80.658977,164.852812,44.119236,40.074599,11.522711,39.516461,13.213002,4.142857
passed:reward_risk_ok,7,5,2,71.428571,80.658977,164.852812,44.119236,40.074599,11.522711,39.516461,13.213002,4.142857
passed:volume_ratio_ok,7,5,2,71.428571,80.658977,164.852812,44.119236,40.074599,11.522711,39.516461,13.213002,4.142857
passed:wick_rejection_short,1,1,0,100.000000,24.345337,38.441558,8.052786,6.043436,24.345337,27.108767,24.139658,8.000000
