key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bearish,7,4,3,57.142857,25.058569,111.368073,43.168745,43.140759,3.579796,40.181244,3.454437,3.142857
passed:1m_ema_alignment_short,7,4,3,57.142857,25.058569,111.368073,43.168745,43.140759,3.579796,40.181244,3.454437,3.142857
passed:5m_confirmation_bearish,7,4,3,57.142857,25.058569,111.368073,43.168745,43.140759,3.579796,40.181244,3.454437,3.142857
passed:atr_bps_in_range,7,4,3,57.142857,25.058569,111.368073,43.168745,43.140759,3.579796,40.181244,3.454437,3.142857
passed:close_reclaim_short,6,3,3,50.000000,0.979657,73.347201,35.204084,37.163460,0.163276,42.359991,0.006900,2.333333
passed:confidence_ok,7,4,3,57.142857,25.058569,111.368073,43.168745,43.140759,3.579796,40.181244,3.454437,3.142857
passed:direction_enabled,7,4,3,57.142857,25.058569,111.368073,43.168745,43.140759,3.579796,40.181244,3.454437,3.142857
passed:expected_net_edge_ok,7,4,3,57.142857,25.058569,111.368073,43.168745,43.140759,3.579796,40.181244,3.454437,3.142857
passed:expected_reward_ok,7,4,3,57.142857,25.058569,111.368073,43.168745,43.140759,3.579796,40.181244,3.454437,3.142857
passed:pullback_near_vwap,7,4,3,57.142857,25.058569,111.368073,43.168745,43.140759,3.579796,40.181244,3.454437,3.142857
passed:reward_risk_ok,7,4,3,57.142857,25.058569,111.368073,43.168745,43.140759,3.579796,40.181244,3.454437,3.142857
passed:volume_ratio_ok,7,4,3,57.142857,25.058569,111.368073,43.168745,43.140759,3.579796,40.181244,3.454437,3.142857
passed:wick_rejection_short,1,1,0,100.000000,24.078912,38.020872,7.964660,5.977299,24.078912,27.108767,24.139658,8.000000
