key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bearish,13,6,7,46.153846,10.410094,136.463542,62.561155,63.492293,0.800776,65.324972,-7.970357,4.384615
passed:1m_ema_alignment_short,13,6,7,46.153846,10.410094,136.463542,62.561155,63.492293,0.800776,65.324972,-7.970357,4.384615
passed:5m_confirmation_bearish,13,6,7,46.153846,10.410094,136.463542,62.561155,63.492293,0.800776,65.324972,-7.970357,4.384615
passed:atr_bps_in_range,13,6,7,46.153846,10.410094,136.463542,62.561155,63.492293,0.800776,65.324972,-7.970357,4.384615
passed:close_reclaim_short,9,4,5,44.444444,-2.882718,86.377777,44.122999,45.137496,-0.320302,64.571537,-12.285455,2.888889
passed:confidence_ok,13,6,7,46.153846,10.410094,136.463542,62.561155,63.492293,0.800776,65.324972,-7.970357,4.384615
passed:direction_enabled,13,6,7,46.153846,10.410094,136.463542,62.561155,63.492293,0.800776,65.324972,-7.970357,4.384615
passed:expected_net_edge_ok,13,6,7,46.153846,10.410094,136.463542,62.561155,63.492293,0.800776,65.324972,-7.970357,4.384615
passed:expected_reward_ok,13,6,7,46.153846,10.410094,136.463542,62.561155,63.492293,0.800776,65.324972,-7.970357,4.384615
passed:pullback_near_vwap,13,6,7,46.153846,10.410094,136.463542,62.561155,63.492293,0.800776,65.324972,-7.970357,4.384615
passed:reward_risk_ok,13,6,7,46.153846,10.410094,136.463542,62.561155,63.492293,0.800776,65.324972,-7.970357,4.384615
passed:volume_ratio_ok,13,6,7,46.153846,10.410094,136.463542,62.561155,63.492293,0.800776,65.324972,-7.970357,4.384615
passed:wick_rejection_short,4,2,2,50.000000,13.292812,50.085765,18.438156,18.354797,3.323203,67.020200,1.738611,7.750000
