trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2024-01,BTCUSDT,ema_trend_pullback_v1,bearish,short,1704891360000,1704891480000,120000,44610.276160,44765.736712,44756.785355,44141.446736,0.085319,-13.263720,3.050184,4.189361,7.239545,-20.503265,3.200000,3,stop_loss,92.094490,-53.869505,-145.963995,8.013939,11.006968,19.020908,-53.869505,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|wick_rejection_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000002,SIG-BT-00000002,2024-01,BTCUSDT,ema_trend_pullback_v1,bearish,short,1705072800000,1705073100000,300000,44999.398320,44745.210076,45081.628163,44736.262824,0.151390,38.481453,5.434560,4.079770,9.514329,28.967124,3.200000,6,take_profit,45.475337,42.520921,-2.954415,7.977405,5.988705,13.966110,42.520921,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000003,SIG-BT-00000003,2024-05,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714548960000,1714549080000,120000,57281.241460,57553.271526,57541.763173,56447.571978,0.048062,-13.074273,2.207664,3.030962,5.238626,-18.312899,3.200000,3,stop_loss,132.539702,-66.518746,-199.058448,8.018996,11.009496,19.028492,-66.518746,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000004,SIG-BT-00000004,2024-05,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714550580000,1714551600000,1020000,57401.917320,56852.268613,57577.235097,56840.900433,0.071159,39.112263,3.252070,2.442965,5.695035,33.417228,3.200000,18,take_profit,84.734869,81.811865,-2.923004,7.961698,5.980853,13.942551,81.811865,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|wick_rejection_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000005,SIG-BT-00000005,2024-05,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714572240000,1714572360000,120000,57295.238660,57418.990642,57407.509140,56935.973123,0.111863,-13.843277,5.132914,7.052912,12.185826,-26.029102,3.200000,3,stop_loss,49.704257,-40.611958,-90.316215,8.008640,11.004319,19.012959,-40.611958,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000006,SIG-BT-00000006,2024-05,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714575780000,1714576140000,360000,57303.836940,57045.402135,57388.162441,57033.995336,0.148162,38.290257,6.776892,5.086499,11.863391,26.426866,3.200000,7,take_profit,34.089622,31.126098,-2.963525,7.981960,5.990982,13.972943,31.126098,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000007,SIG-BT-00000007,2024-05,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714613700000,1714613760000,60000,57274.542800,57039.933087,57351.422618,57028.527381,0.163371,38.328369,7.470257,5.606528,13.076785,25.251584,3.200000,2,take_profit,29.953711,26.986878,-2.966834,7.983615,5.991809,13.975424,26.986878,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000008,SIG-BT-00000008,2024-06,BTCUSDT,ema_trend_pullback_v1,bearish,short,1719259140000,1719259200000,60000,59230.151600,59384.812819,59372.938231,58773.234379,0.088405,-13.672816,4.194460,5.762596,9.957056,-23.629872,3.200000,2,stop_loss,64.142673,-45.127573,-109.270246,8.010445,11.005221,19.015666,-45.127573,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|wick_rejection_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000009,SIG-BT-00000009,2024-06,BTCUSDT,ema_trend_pullback_v1,bearish,short,1719260940000,1719261000000,60000,59045.288580,58689.777422,59160.053194,58678.041814,0.109476,38.919934,5.155665,3.870642,9.026307,29.893627,3.200000,2,take_profit,49.197472,46.246034,-2.951437,7.975916,5.987961,13.963877,46.246034,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-0000000A,SIG-BT-0000000A,2024-07,BTCUSDT,ema_trend_pullback_v1,bearish,short,1720057740000,1720057740000,0,59117.574120,59295.151883,59283.295224,58587.266587,0.076265,-13.542950,3.612294,4.962164,8.574457,-22.117407,3.200000,1,stop_loss,76.703872,-49.056088,-125.759961,8.012015,11.006007,19.018022,-49.056088,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
