key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:atr_bps_in_range,308,74,234,24.025974,-3299.342953,-725.301511,1150.193751,1423.847691,-10.712152,35.247609,-22.167822,4.980519
passed:bearish_retest_hold,308,74,234,24.025974,-3299.342953,-725.301511,1150.193751,1423.847691,-10.712152,35.247609,-22.167822,4.980519
passed:below_vwap,308,74,234,24.025974,-3299.342953,-725.301511,1150.193751,1423.847691,-10.712152,35.247609,-22.167822,4.980519
passed:confidence_ok,308,74,234,24.025974,-3299.342953,-725.301511,1150.193751,1423.847691,-10.712152,35.247609,-22.167822,4.980519
passed:confirmation_bearish,308,74,234,24.025974,-3299.342953,-725.301511,1150.193751,1423.847691,-10.712152,35.247609,-22.167822,4.980519
passed:entry_ema_alignment_short,308,74,234,24.025974,-3299.342953,-725.301511,1150.193751,1423.847691,-10.712152,35.247609,-22.167822,4.980519
passed:expected_net_edge_ok,308,74,234,24.025974,-3299.342953,-725.301511,1150.193751,1423.847691,-10.712152,35.247609,-22.167822,4.980519
passed:expected_reward_ok,308,74,234,24.025974,-3299.342953,-725.301511,1150.193751,1423.847691,-10.712152,35.247609,-22.167822,4.980519
passed:lookback_range_low_breakdown,308,74,234,24.025974,-3299.342953,-725.301511,1150.193751,1423.847691,-10.712152,35.247609,-22.167822,4.980519
passed:reward_risk_ok,308,74,234,24.025974,-3299.342953,-725.301511,1150.193751,1423.847691,-10.712152,35.247609,-22.167822,4.980519
passed:screening_bearish,308,74,234,24.025974,-3299.342953,-725.301511,1150.193751,1423.847691,-10.712152,35.247609,-22.167822,4.980519
passed:volume_ratio_ok,308,74,234,24.025974,-3299.342953,-725.301511,1150.193751,1423.847691,-10.712152,35.247609,-22.167822,4.980519
