month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,1,0,1,0.000000,-14.643675,8.570558,11.779391,20.349949,-34.993624,0.000000,0.000000,-34.993624,-34.993624,1,2.500000,16.189580,-32.686373,-48.875953,19.008207,0,1,0,0
2020-02,8,4,4,50.000000,60.725036,53.506768,58.849647,112.356415,-51.631379,2.061806,19.176140,-32.083984,-6.453922,2,2.500000,27.546001,-4.672285,-32.218286,16.492908,4,4,0,0
2020-03,37,6,31,16.216216,-232.553840,185.260450,237.854709,423.115158,-655.668998,0.408601,18.956298,-24.819574,-17.720784,8,2.500000,43.039776,-28.954782,-71.994558,18.195644,6,31,0,0
2020-04,10,3,7,30.000000,-13.279948,72.864488,86.925735,159.790223,-173.070171,0.845911,11.941445,-29.842072,-17.307017,3,2.500000,16.046840,-18.730020,-34.776860,17.500738,3,7,0,0
2022-05,43,11,32,25.581395,-81.630054,174.093821,219.611313,393.705134,-475.335187,0.767140,19.437870,-21.535992,-11.054307,13,2.500000,47.925075,-16.293621,-64.218695,17.720075,11,32,0,0
2022-06,71,13,58,18.309859,-266.396282,222.104987,280.287181,502.392167,-768.788449,0.482449,13.726004,-16.331491,-10.828006,8,2.500000,47.608376,-28.920931,-76.529307,18.091005,13,58,0,0
2022-07,17,2,15,11.764706,-83.674967,60.124576,78.942626,139.067201,-222.742168,0.280326,11.127108,-16.333092,-13.102480,9,2.500000,27.613500,-28.998945,-56.612445,18.418113,2,15,0,0
2022-08,27,6,21,22.222222,-64.518227,106.587405,131.091499,237.678904,-302.197131,0.570025,7.057023,-16.406632,-11.192486,8,2.500000,19.322825,-23.255321,-42.578147,17.892107,6,21,0,0
2022-09,22,6,16,27.272727,-21.688653,63.819805,76.606870,140.426675,-162.115328,0.785473,8.045516,-13.149276,-7.368879,6,2.500000,29.561220,-20.876035,-50.437255,17.638306,6,16,0,0
2022-10,2,0,2,0.000000,-12.360606,6.490762,8.920471,15.411233,-27.771839,0.000000,0.000000,-13.885919,-13.885919,2,2.500000,21.656833,-34.875024,-56.531857,19.009519,0,2,0,0
2022-11,16,6,10,37.500000,14.481890,45.244991,53.189115,98.434106,-83.952216,1.241170,8.216201,-13.324942,-5.247013,4,2.500000,28.332143,-10.589157,-38.921299,17.121081,6,10,0,0
2022-12,2,1,1,50.000000,6.395529,4.973799,5.151577,10.125376,-3.729847,2.123599,7.363802,-11.093649,-1.864923,1,2.500000,28.419003,-8.627458,-37.046461,16.495280,1,1,0,0
2023-01,2,2,0,100.000000,23.832056,6.704106,5.030464,11.734570,12.097486,inf,6.048743,0.000000,6.048743,0,2.500000,18.371886,15.395786,-2.976100,13.982374,2,0,0,0
2023-02,10,3,7,30.000000,-5.407019,30.392231,36.760338,67.152569,-72.559588,0.867726,7.138636,-13.425071,-7.255959,5,2.500000,21.993543,-16.389764,-38.383308,17.499334,3,7,0,0
2023-03,15,5,10,33.333333,2.325362,39.658722,47.294632,86.953354,-84.627992,1.041714,7.568427,-12.247013,-5.641866,4,2.500000,28.822507,-14.547703,-43.370210,17.331663,5,10,0,0
2023-04,4,0,4,0.000000,-21.777964,12.195140,16.760695,28.955835,-50.733799,0.000000,0.000000,-12.683450,-12.683450,4,2.500000,19.093879,-33.849023,-52.942902,19.008904,0,4,0,0
2023-05,6,1,5,16.666667,-15.437869,16.041292,20.655984,36.697277,-52.135146,0.411777,6.906431,-11.808315,-8.689191,3,2.500000,22.802662,-24.992400,-47.795062,18.170760,1,5,0,0
2023-06,4,1,3,25.000000,-4.460858,8.767288,10.976111,19.743399,-24.204258,0.705613,7.682004,-10.628754,-6.051064,2,2.500000,32.163783,-19.752422,-51.916205,17.751201,1,3,0,0
2023-08,6,3,3,50.000000,15.276368,16.655030,17.101410,33.756440,-18.480072,2.018626,4.679558,-10.839582,-3.080012,3,2.500000,21.747650,-12.427649,-34.175298,16.497558,3,3,0,0
2023-09,3,1,2,33.333333,-0.350095,9.897351,11.481226,21.378577,-21.728672,0.966136,4.037260,-12.882966,-7.242891,1,2.500000,13.447137,-18.026783,-31.473920,17.333749,1,2,0,0
2023-10,2,0,2,0.000000,-10.157696,6.240183,8.576697,14.816880,-24.974576,0.000000,0.000000,-12.487288,-12.487288,2,2.500000,14.571816,-32.038750,-46.610567,19.007818,0,2,0,0
