key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:anchor_range_quality_ok,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:atr_bps_in_range,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:below_vwap,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:breakdown_close_depth_ok,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:breakdown_volume_ok,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:confidence_ok,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:confirmation_bearish,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:current_body_ok,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:entry_ema_alignment_short,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:expected_net_edge_ok,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:expected_reward_ok,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:retest_hold_ok,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:reward_risk_ok,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:screening_bearish,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:structure_stop_ok,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:upper_wick_rejection_ok,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
passed:volume_ratio_ok,31,12,19,38.709677,-297.701137,53.958790,162.508606,189.151322,-9.603262,41.791533,-11.328041,10.645161
