month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-03,2,0,2,0.000000,-26.489407,6.121916,8.408362,14.530277,-41.019685,0.000000,0.000000,-20.509842,-20.509842,2,2.051656,66.847732,-59.756467,-126.604199,19.024438,0,2,0,0
2020-04,1,0,1,0.000000,-14.275837,7.509336,10.320341,17.829677,-32.105514,0.000000,0.000000,-32.105514,-32.105514,1,2.155983,15.496828,-34.229332,-49.726161,19.009132,0,1,0,0
2022-05,5,2,3,40.000000,13.006280,25.082437,28.838324,53.920761,-40.914481,1.319143,18.979723,-26.291309,-8.182896,3,2.490514,41.727257,-12.802809,-54.530067,16.997484,2,3,0,0
2022-06,8,3,5,37.500000,14.200101,33.569106,40.454148,74.023254,-59.823153,1.212932,21.651280,-24.955399,-7.477894,3,2.200374,53.880080,-0.045000,-53.925080,17.114759,3,5,0,0
2022-07,2,2,0,100.000000,37.798528,8.316817,6.241395,14.558212,23.240316,inf,11.620158,0.000000,11.620158,0,2.286094,43.545954,20.925941,-22.620013,13.979059,1,0,1,0
2022-08,2,0,2,0.000000,-27.921631,14.997698,20.612062,35.609760,-63.531391,0.000000,0.000000,-31.765695,-31.765695,2,2.784303,22.458347,-33.957800,-56.416147,19.008969,0,2,0,0
2022-10,3,1,2,33.333333,-4.661651,25.600387,30.611556,56.211943,-60.873594,0.835903,10.915950,-35.894772,-20.291198,2,2.470689,14.540898,-17.004789,-31.545687,17.333136,1,2,0,0
2022-11,3,2,1,66.666667,50.977182,9.882487,8.310708,18.193195,32.783986,5.187969,24.179903,-15.575820,10.927995,1,2.511798,74.341211,3.428273,-70.912938,15.655217,2,1,0,0
2023-02,2,0,2,0.000000,-26.978606,13.064462,17.954191,31.018653,-57.997260,0.000000,0.000000,-28.998630,-28.998630,2,2.136088,18.782054,-35.803336,-54.585390,19.010075,0,2,0,0
2023-03,1,1,0,100.000000,22.677816,4.212063,3.161316,7.373378,15.304438,inf,15.304438,0.000000,15.304438,0,2.019538,31.970581,29.005361,-2.965220,13.974214,1,0,0,0
2023-04,1,1,0,100.000000,28.901131,8.349094,6.264712,14.613806,14.287325,inf,14.287325,0.000000,14.287325,0,2.628605,16.648490,13.671011,-2.977479,13.983409,1,0,0,0
2023-05,1,0,1,0.000000,-13.275115,5.802803,7.974208,13.777011,-27.052126,0.000000,0.000000,-27.052126,-27.052126,1,2.134837,21.830199,-37.329412,-59.159612,19.010990,0,1,0,0
