trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-03,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1584179940000,1584180120000,180000,5215.196752,5244.441533,5243.392854,5156.615024,0.443324,-12.964904,1.854802,2.545815,4.400617,-17.365521,2.077653,4,stop_loss,99.328894,-75.109727,-174.438621,8.022430,11.011213,19.033644,-75.109727,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-03,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1585469700000,1585470180000,480000,6105.388678,6120.889024,6119.665091,6076.469546,0.872529,-13.524503,4.267113,5.862547,10.129660,-23.654164,2.025658,9,stop_loss,34.366570,-44.403208,-78.769778,8.010155,11.005077,19.015232,-44.403208,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000003,SIG-BT-00000003,2020-04,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1586634600000,1586635080000,480000,6790.631602,6800.967080,6799.607158,6771.280456,1.381246,-14.275837,7.509336,10.320341,17.829677,-32.105514,2.155983,9,stop_loss,15.496828,-34.229332,-49.726161,8.006088,11.003044,19.009132,-34.229332,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000004,SIG-BT-00000004,2022-05,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1652234040000,1652234100000,60000,30779.042960,30842.472177,30836.304916,30635.573418,0.215102,-13.643780,5.301976,7.285441,12.587416,-26.231196,2.505495,2,stop_loss,33.612736,-39.620288,-73.233024,8.008243,11.004121,19.012364,-39.620288,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000005,SIG-BT-00000005,2022-05,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1652526000000,1652526300000,300000,29307.737280,29348.883683,29343.015080,29208.180492,0.347289,-14.289713,8.148331,11.198954,19.347285,-33.636998,2.822080,6,stop_loss,20.969455,-33.047857,-54.017312,8.005616,11.002807,19.008423,-33.047857,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000006,SIG-BT-00000006,2022-05,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1652709300000,1652710140000,840000,29572.584300,29689.186193,29683.249543,29294.530674,0.109949,-12.820244,2.606305,3.579182,6.185488,-19.005732,2.512565,15,stop_loss,81.024121,-58.452707,-139.476828,8.015772,11.007884,19.023656,-58.452707,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000007,SIG-BT-00000007,2022-05,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1653612780000,1653613500000,720000,29114.475940,28979.138634,29177.596154,28973.343965,0.192015,25.986738,4.461929,3.349046,7.810975,18.175763,2.235924,13,take_profit,35.474846,32.512430,-2.962416,7.981406,5.990705,13.972111,32.512430,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000008,SIG-BT-00000008,2022-05,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1653663660000,1653663780000,120000,28767.645320,28627.934566,28828.842377,28622.210124,0.198791,27.773280,4.563896,3.425701,7.989597,19.783683,2.376506,3,take_profit,37.555127,34.594375,-2.960752,7.980574,5.990289,13.970863,34.594375,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000009,SIG-BT-00000009,2022-06,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1654733520000,1654733580000,60000,30147.969200,30197.189572,30191.151342,30053.769236,0.282869,-13.922931,6.827916,9.383511,16.211428,-30.134358,2.181456,2,stop_loss,18.245874,-35.336060,-53.581934,8.006531,11.003265,19.009795,-35.336060,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-0000000A,SIG-BT-0000000A,2022-06,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1655033340000,1655033640000,300000,27369.425020,27411.747913,27406.266659,27294.293209,0.329507,-13.945674,7.220304,9.923037,17.143341,-31.089015,2.039318,6,stop_loss,14.451001,-34.472844,-48.923845,8.006185,11.003092,19.009278,-34.472844,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
