key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:anchor_range_quality_ok,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:atr_bps_in_range,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:below_vwap,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:breakdown_close_depth_ok,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:breakdown_volume_ok,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:confidence_ok,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:confirmation_bearish,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:current_body_ok,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:entry_ema_alignment_short,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:expected_net_edge_ok,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:expected_reward_ok,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:retest_hold_ok,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:reward_risk_ok,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:screening_bearish,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:structure_stop_ok,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:upper_wick_rejection_ok,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
passed:volume_ratio_ok,8,5,3,62.500000,11.955049,95.537418,41.377849,42.204520,1.494381,34.576638,5.811207,9.125000
