key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:anchor_range_quality_ok,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:atr_bps_in_range,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:below_vwap,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:breakdown_close_depth_ok,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:breakdown_volume_ok,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:confidence_ok,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:confirmation_bearish,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:current_body_ok,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:entry_ema_alignment_short,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:expected_net_edge_ok,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:expected_reward_ok,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:retest_hold_ok,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:reward_risk_ok,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:screening_bearish,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:structure_stop_ok,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:upper_wick_rejection_ok,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
passed:volume_ratio_ok,7,3,4,42.857143,-25.052773,27.493363,25.209811,27.336326,-3.578968,53.276754,-13.906911,10.000000
