key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:anchor_range_quality_ok,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:atr_bps_in_range,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:below_vwap,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:breakdown_close_depth_ok,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:breakdown_volume_ok,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:confidence_ok,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:confirmation_bearish,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:current_body_ok,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:entry_ema_alignment_short,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:expected_net_edge_ok,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:expected_reward_ok,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:retest_hold_ok,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:reward_risk_ok,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:screening_bearish,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:structure_stop_ok,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:upper_wick_rejection_ok,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
passed:volume_ratio_ok,32,13,19,40.625000,-345.485251,5.329074,163.718953,187.095372,-10.796414,29.315251,-14.995128,8.281250
