month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-03,2,0,2,0.000000,-26.436142,5.907095,8.113002,14.020097,-40.456239,0.000000,0.000000,-20.228120,-20.228120,2,1.555035,49.737504,-61.183461,-110.920964,19.025293,0,2,0,0
2020-04,1,0,1,0.000000,-14.207907,7.231953,9.938962,17.170914,-31.378821,0.000000,0.000000,-31.378821,-31.378821,1,1.631186,9.390365,-34.738611,-44.128977,19.009437,0,1,0,0
2022-05,5,2,3,40.000000,-0.486340,24.006495,27.577895,51.584390,-52.070731,0.988018,12.459670,-25.663357,-10.414146,3,1.873048,29.999988,-17.674440,-47.674427,17.000405,2,3,0,0
2022-06,8,3,5,37.500000,-5.914121,32.220455,38.843867,71.064322,-76.978443,0.910790,15.045508,-24.422993,-9.622305,3,1.663249,39.548634,-7.979327,-47.527961,17.119516,3,5,0,0
2022-07,3,3,0,100.000000,57.924027,16.352372,12.270074,28.622446,29.301582,inf,9.767194,0.000000,9.767194,0,1.720032,23.126915,20.154620,-2.972296,13.979521,3,0,0,0
2022-08,2,0,2,0.000000,-27.624109,14.219003,19.541460,33.760463,-61.384572,0.000000,0.000000,-30.692286,-30.692286,2,2.077060,14.860130,-34.591491,-49.451621,19.009349,0,2,0,0
2022-10,3,1,2,33.333333,-10.574182,24.421181,29.174588,53.595769,-64.169951,0.623643,5.210163,-34.690057,-21.389984,2,1.858644,8.639277,-19.323710,-27.962987,17.334527,1,2,0,0
2022-11,3,2,1,66.666667,34.457794,9.396202,7.909366,17.305568,17.152226,3.847042,16.262909,-15.373592,5.717409,1,1.886333,55.625237,-6.606915,-62.232152,15.661235,2,1,0,0
2023-02,2,0,2,0.000000,-26.648237,12.488574,17.162461,29.651035,-56.299272,0.000000,0.000000,-28.149636,-28.149636,2,1.616568,11.971614,-36.371327,-48.342941,19.010416,0,2,0,0
2023-03,1,1,0,100.000000,16.849584,4.036219,3.028850,7.065069,9.784515,inf,9.784515,0.000000,9.784515,0,1.531547,22.334028,19.361098,-2.972930,13.979997,1,0,0,0
2023-04,1,1,0,100.000000,21.074683,7.906981,5.932344,13.839325,7.235358,inf,7.235358,0.000000,7.235358,0,1.972733,10.295242,7.312680,-2.982562,13.987221,1,0,0,0
2023-05,1,0,1,0.000000,-13.085977,5.532424,7.602503,13.134927,-26.220904,0.000000,0.000000,-26.220904,-26.220904,1,1.615775,14.366585,-37.951878,-52.318463,19.011364,0,1,0,0
