signal_id,stage,entry_geometry_mode,timestamp,side,regime,reason,equity,peak_equity,drawdown_pct,daily_realized_pnl,expected_reward_bps,expected_cost_bps,expected_net_edge_bps
SIG-BT-00000001,initial_risk,reanchor_to_actual_entry,1582875360000,short,bearish,reward_risk_below_minimum,5000.000000,5000.000000,0.000000,0.000000,27.785211,19.000000,8.785211
SIG-BT-00000005,initial_risk,reanchor_to_actual_entry,1586676000000,short,bearish,expected_net_edge_not_positive,4928.164940,5000.000000,1.436701,0.000000,15.518314,19.000000,-3.481686
SIG-BT-00000007,initial_risk,reanchor_to_actual_entry,1652290440000,short,bearish,reward_risk_below_minimum,4902.522476,5000.000000,1.949550,-25.642464,98.853400,19.000000,79.853400
SIG-BT-0000000A,initial_risk,reanchor_to_actual_entry,1653133380000,short,bearish,expected_net_edge_not_positive,4851.174870,5000.000000,2.976503,0.000000,16.957437,19.000000,-2.042563
SIG-BT-0000000B,initial_risk,reanchor_to_actual_entry,1653394800000,short,bearish,reward_risk_below_minimum,4851.174870,5000.000000,2.976503,0.000000,16.060548,19.000000,-2.939452
SIG-BT-0000000B,initial_risk,reanchor_to_actual_entry,1653394800000,short,bearish,expected_net_edge_not_positive,4851.174870,5000.000000,2.976503,0.000000,16.060548,19.000000,-2.939452
SIG-BT-0000000E,initial_risk,reanchor_to_actual_entry,1653669060000,short,bearish,reward_risk_below_minimum,4876.094209,5000.000000,2.478116,24.919339,30.542504,19.000000,11.542504
SIG-BT-00000017,initial_risk,reanchor_to_actual_entry,1656752700000,short,bearish,reward_risk_below_minimum,4799.115766,5000.000000,4.017685,0.000000,19.138561,19.000000,0.138561
SIG-BT-00000018,initial_risk,reanchor_to_actual_entry,1657654320000,short,bearish,reward_risk_below_minimum,4799.115766,5000.000000,4.017685,0.000000,48.761042,19.000000,29.761042
SIG-BT-00000019,initial_risk,reanchor_to_actual_entry,1658412960000,short,bearish,reward_risk_below_minimum,4799.115766,5000.000000,4.017685,0.000000,46.966122,19.000000,27.966122
SIG-BT-0000001F,initial_risk,reanchor_to_actual_entry,1661607000000,short,bearish,expected_net_edge_not_positive,4767.032776,5000.000000,4.659344,0.000000,16.663939,19.000000,-2.336061
SIG-BT-00000023,initial_risk,reanchor_to_actual_entry,1667840760000,short,bearish,expected_net_edge_not_positive,4702.862825,5000.000000,5.942743,0.000000,14.953343,19.000000,-4.046657
SIG-BT-00000027,initial_risk,reanchor_to_actual_entry,1671141000000,short,bearish,expected_net_edge_not_positive,4720.015051,5000.000000,5.599699,0.000000,14.814951,19.000000,-4.185049
SIG-BT-00000028,initial_risk,reanchor_to_actual_entry,1671204720000,short,bearish,expected_net_edge_not_positive,4720.015051,5000.000000,5.599699,0.000000,18.252979,19.000000,-0.747021
SIG-BT-00000029,initial_risk,reanchor_to_actual_entry,1674085560000,short,bearish,reward_risk_below_minimum,4720.015051,5000.000000,5.599699,0.000000,19.936656,19.000000,0.936656
SIG-BT-0000002A,initial_risk,reanchor_to_actual_entry,1675101960000,short,bearish,expected_net_edge_not_positive,4720.015051,5000.000000,5.599699,0.000000,17.126059,19.000000,-1.873941
SIG-BT-0000002B,initial_risk,reanchor_to_actual_entry,1675558800000,short,bearish,reward_risk_below_minimum,4720.015051,5000.000000,5.599699,0.000000,19.277120,19.000000,0.277120
SIG-BT-0000002F,initial_risk,reanchor_to_actual_entry,1679970840000,short,bearish,expected_net_edge_not_positive,4673.500295,5000.000000,6.529994,0.000000,14.152078,19.000000,-4.847922
SIG-BT-00000032,initial_risk,reanchor_to_actual_entry,1692327840000,short,bearish,expected_net_edge_not_positive,4654.514749,5000.000000,6.909705,0.000000,17.625952,19.000000,-1.374048
SIG-BT-00000033,initial_risk,reanchor_to_actual_entry,1692612780000,short,bearish,expected_net_edge_not_positive,4654.514749,5000.000000,6.909705,0.000000,17.080420,19.000000,-1.919580
SIG-BT-00000034,initial_risk,reanchor_to_actual_entry,1692734460000,short,bearish,reward_risk_below_minimum,4654.514749,5000.000000,6.909705,0.000000,17.029185,19.000000,-1.970815
SIG-BT-00000034,initial_risk,reanchor_to_actual_entry,1692734460000,short,bearish,expected_net_edge_not_positive,4654.514749,5000.000000,6.909705,0.000000,17.029185,19.000000,-1.970815
