trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-03,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1584179940000,1584180120000,180000,5215.196752,5245.487844,5244.438957,5169.168251,0.427464,-12.948362,1.788628,2.454831,4.243459,-17.191821,1.574043,4,stop_loss,75.258417,-77.117205,-152.375622,8.023233,11.011614,19.034847,-77.117205,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000003,SIG-BT-00000003,2020-03,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1585469700000,1585471260000,1560000,6105.388678,6121.405540,6120.181504,6082.666503,0.842099,-13.487780,4.118467,5.658171,9.776639,-23.264418,1.536027,27,stop_loss,24.216591,-45.249716,-69.466307,8.010494,11.005246,19.015739,-45.249716,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000004,SIG-BT-00000004,2020-04,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1586634600000,1586635080000,480000,6790.631602,6801.312705,6799.952714,6775.427130,1.330191,-14.207907,7.231953,9.938962,17.170914,-31.378821,1.631186,9,stop_loss,9.390365,-34.738611,-44.128977,8.006292,11.003145,19.009437,-34.738611,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000006,SIG-BT-00000006,2022-05,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1652234040000,1652234100000,60000,30779.042960,30845.034646,30838.866872,30666.316891,0.205945,-13.590632,5.076459,6.975374,12.051832,-25.642464,1.884298,2,stop_loss,23.624293,-40.453324,-64.077617,8.008576,11.004287,19.012864,-40.453324,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000008,SIG-BT-00000008,2022-05,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1652526000000,1652526360000,360000,29307.737280,29350.661838,29344.792880,29229.514090,0.330754,-14.197491,7.760612,10.665872,18.426483,-32.623974,2.110968,7,stop_loss,13.690286,-33.654939,-47.345226,8.005858,11.002929,19.008787,-33.654939,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000009,SIG-BT-00000009,2022-05,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1652709300000,1652710140000,840000,29572.584300,29694.152430,29688.214787,29354.113594,0.105290,-12.799921,2.496080,3.427630,5.923711,-18.723632,1.889387,15,stop_loss,60.876095,-60.133052,-121.009148,8.016443,11.008220,19.024664,-60.133052,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-0000000C,SIG-BT-0000000C,2022-05,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1653612780000,1653613440000,660000,29114.475940,29009.387249,29180.116368,29003.586531,0.184763,19.416526,4.295661,3.223688,7.519349,11.897176,1.689346,12,take_profit,25.087379,22.116652,-2.970727,7.985562,5.992783,13.978345,22.116652,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-0000000D,SIG-BT-0000000D,2022-05,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1653663660000,1653663720000,60000,28767.645320,28659.105484,28831.439434,28653.374809,0.190577,20.685178,4.377683,3.285332,7.663015,13.022163,1.791239,2,take_profit,26.721885,23.752466,-2.969419,7.984908,5.992456,13.977364,23.752466,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-0000000F,SIG-BT-0000000F,2022-06,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1654733520000,1654733580000,60000,30147.969200,30198.872051,30192.833484,30073.954943,0.271714,-13.830996,6.558823,9.013540,15.572362,-29.403359,1.649737,2,stop_loss,11.550329,-35.894468,-47.444798,8.006754,11.003376,19.010130,-35.894468,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
TRD-SIG-BT-00000010,SIG-BT-00000010,2022-06,BTCUSDT,vwap_reclaim_short_v2,bearish,short,1655033340000,1655033640000,300000,27369.425020,27413.089821,27407.608299,27310.392882,0.317331,-13.856182,6.953670,9.556446,16.510116,-30.366298,1.546021,6,stop_loss,8.568644,-34.963433,-43.532077,8.006382,11.003190,19.009572,-34.963433,screening_bearish|confirmation_bearish|entry_ema_alignment_short|anchor_range_quality_ok|breakdown_close_depth_ok|breakdown_volume_ok|retest_hold_ok|current_body_ok|upper_wick_rejection_ok|structure_stop_ok|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v2_range_breakdown_retest
