key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bullish,4,1,3,25.000000,-55.602787,-3.671429,23.403317,28.528041,-13.900697,42.142304,-19.223358,6.500000
passed:1m_ema_alignment_long,4,1,3,25.000000,-55.602787,-3.671429,23.403317,28.528041,-13.900697,42.142304,-19.223358,6.500000
passed:5m_confirmation_bullish,4,1,3,25.000000,-55.602787,-3.671429,23.403317,28.528041,-13.900697,42.142304,-19.223358,6.500000
passed:atr_bps_in_range,4,1,3,25.000000,-55.602787,-3.671429,23.403317,28.528041,-13.900697,42.142304,-19.223358,6.500000
passed:close_reclaim_long,3,1,2,33.333333,-28.463297,10.221340,17.827797,20.856840,-9.487766,41.410869,-12.663758,8.000000
passed:confidence_ok,4,1,3,25.000000,-55.602787,-3.671429,23.403317,28.528041,-13.900697,42.142304,-19.223358,6.500000
passed:direction_enabled,4,1,3,25.000000,-55.602787,-3.671429,23.403317,28.528041,-13.900697,42.142304,-19.223358,6.500000
passed:expected_net_edge_ok,4,1,3,25.000000,-55.602787,-3.671429,23.403317,28.528041,-13.900697,42.142304,-19.223358,6.500000
passed:expected_reward_ok,4,1,3,25.000000,-55.602787,-3.671429,23.403317,28.528041,-13.900697,42.142304,-19.223358,6.500000
passed:pullback_near_vwap,4,1,3,25.000000,-55.602787,-3.671429,23.403317,28.528041,-13.900697,42.142304,-19.223358,6.500000
passed:reward_risk_ok,4,1,3,25.000000,-55.602787,-3.671429,23.403317,28.528041,-13.900697,42.142304,-19.223358,6.500000
passed:volume_ratio_ok,4,1,3,25.000000,-55.602787,-3.671429,23.403317,28.528041,-13.900697,42.142304,-19.223358,6.500000
passed:wick_rejection_long,1,0,1,0.000000,-27.139490,-13.892769,5.575519,7.671201,-27.139490,44.336609,-38.902158,2.000000
